pace,wind,stryd
04:38,1,265
04:38,2,266
04:38,2,266
04:39,2,267
04:39,2,267
04:39,2,268
04:40,2,269
04:40,2,269
04:40,3,270
04:40,3,270
04:41,3,271
04:41,3,271
04:41,3,272
04:41,3,272
04:42,4,272
04:42,4,272
04:42,4,272
04:42,4,271
04:43,4,271
04:43,4,271
04:43,4,270
04:43,4,270
04:44,4,269
04:44,4,269
04:44,4,269
04:44,4,268
04:45,4,268
04:45,4,267
04:45,4,267
04:45,5,266
04:46,5,266
04:46,5,265
04:47,5,265
04:47,5,264
04:48,5,264
04:48,5,263
04:48,6,263
04:49,6,263
04:49,6,263
04:50,6,263
04:50,6,263
04:50,6,263
04:51,7,263
04:51,7,263
04:51,7,264
04:52,7,264
04:52,7,264
04:52,7,265
04:53,8,265
04:53,8,266
04:53,9,266
04:53,10,266
04:54,10,266
04:54,11,266
04:54,11,266
04:54,12,266
04:54,13,266
04:54,13,266
04:55,14,265
04:55,14,265
04:55,14,264
04:55,15,264
04:55,15,263
04:56,15,263
04:56,16,262
04:56,16,262
04:56,16,261
04:57,16,261
04:57,17,261
04:57,17,261
04:58,17,261
04:58,17,262
04:58,18,262
04:58,18,262
04:59,18,263
04:59,18,263
04:59,19,263
04:59,19,264
05:00,20,264
05:00,20,265
05:00,21,266
05:00,22,266
05:01,23,267
05:01,24,267
05:01,25,268
05:01,25,268
05:02,26,268
05:02,26,269
05:02,27,269
05:02,27,269
05:03,27,270
05:03,28,270
05:03,28,271
05:03,28,272
05:04,28,273
05:04,28,274
05:05,28,275
05:05,27,276
05:05,27,277
05:05,26,278
05:06,26,279
05:06,26,280
05:06,26,280
05:07,27,281
05:07,27,282
05:07,28,282
05:08,28,282
05:08,28,281
05:08,28,281
05:09,28,281
05:09,27,280
05:09,27,280
05:10,26,279
05:10,26,278
05:10,25,278
05:11,24,277
05:11,24,276
05:11,23,275
05:11,23,274
05:12,22,274
05:12,22,273
05:12,21,272
05:13,21,272
05:13,20,272
05:13,19,272
05:14,19,272
05:14,18,272
05:14,18,273
05:15,17,274
05:15,17,274
05:15,16,275
05:16,15,275
05:16,15,276
05:16,15,276
05:17,14,276
05:17,14,277
05:17,13,278
05:17,13,278
05:18,13,279
05:18,13,280
05:18,13,281
05:18,13,281
05:18,13,282
05:19,13,283
05:19,14,284
05:19,15,284
05:19,15,285
05:19,16,285
05:19,16,286
05:19,17,287
05:19,17,287
05:19,17,288
05:19,18,288
05:19,18,289
05:19,18,289
05:20,18,289
05:20,19,290
05:20,19,290
05:20,21,290
05:20,22,291
05:20,23,290
05:20,24,290
05:20,25,290
05:20,25,289
05:20,26,289
05:20,27,288
05:20,27,288
05:20,28,288
05:20,28,288
05:20,29,287
05:20,29,287
05:21,29,286
05:21,29,285
05:21,29,285
05:21,29,284
05:21,29,283
05:21,29,282
05:21,29,281
05:21,29,281
05:21,30,280
05:21,30,280
05:22,30,279
05:22,30,279
05:22,30,279
05:22,30,279
05:22,30,278
05:22,30,278
05:22,30,278
05:22,30,278
05:22,30,277
05:22,30,277
05:22,30,277
05:22,30,277
05:22,30,277
05:22,29,276
05:22,29,276
05:22,29,275
05:22,29,275
05:22,28,275
05:22,28,275
05:22,28,274
05:22,29,274
05:22,29,274
05:22,29,275
05:22,30,275
05:22,30,275
05:22,30,275
05:22,31,275
05:22,31,275
05:22,31,275
05:22,31,275
05:22,31,275
05:22,31,275
05:22,32,276
05:22,32,276
05:22,32,276
05:22,33,277
05:22,33,277
05:22,33,278
05:21,33,278
05:21,33,279
05:21,33,279
05:21,33,280
05:21,33,281
05:21,33,281
05:20,33,282
05:20,32,283
05:20,32,284
05:20,32,284
05:20,32,285
05:19,31,285
05:19,31,286
05:19,30,286
05:19,30,287
05:18,29,287
05:18,29,287
05:18,28,288
05:18,27,288
05:17,27,288
05:17,26,288
05:16,26,287
05:16,25,287
05:15,25,287
05:14,24,287
05:13,24,288
05:12,23,288
05:11,22,288
05:09,21,288
05:08,20,287
05:07,19,287
05:06,18,286
05:05,17,286
05:04,17,285
05:03,16,285
05:02,15,284
05:01,14,284
05:00,13,284
04:59,13,283
04:58,12,283
04:57,12,283
